"OPDSPIGA.Code.or.Value","OPDSPIGA.Value.Description","OPDSPIGA.Count","OPDSPIGA.Cumulative","OPDSPIGA.Skip.to.Item"
"0","No",2240,2240,NA
"1","Yes",89,2329,NA
".","Missing",605,2934,NA
