"MPQ120f.Code.or.Value","MPQ120f.Value.Description","MPQ120f.Count","MPQ120f.Cumulative","MPQ120f.Skip.to.Item"
"15","Upper arm - left",59,59,NA
".","Missing",4821,4880,NA
