"DR1DAY.Code.or.Value","DR1DAY.Value.Description","DR1DAY.Count","DR1DAY.Cumulative","DR1DAY.Skip.to.Item"
"1","Sunday",1007,1007,NA
"2","Monday",602,1609,NA
"3","Tuesday",560,2169,NA
"4","Wednesday",607,2776,NA
"5","Thursday",921,3697,NA
"6","Friday",1190,4887,NA
"7","Saturday",1019,5906,NA
".","Missing",0,5906,NA
