"TYXA241.Code.or.Value","TYXA241.Value.Description","TYXA241.Count","TYXA241.Cumulative","TYXA241.Skip.to.Item"
"0.33 to 2.739","Range of Values",167,167,NA
".","Missing",8302,8469,NA
