"DXXRRBMD.Code.or.Value","DXXRRBMD.Value.Description","DXXRRBMD.Count","DXXRRBMD.Cumulative","DXXRRBMD.Skip.to.Item"
"0.349 to 0.984","Range of Values",5294,5294,NA
".","Missing",739,6033,NA
