"SXQ827.Code.or.Value","SXQ827.Value.Description","SXQ827.Count","SXQ827.Cumulative","SXQ827.Skip.to.Item"
"0 to 126","Range of Values",1718,1718,NA
"2000","2000 or more",1,1719,NA
"77777","Refused",3,1722,NA
"99999","Don't know",2,1724,NA
".","Missing",3578,5302,NA
