"OCQ210.Code.or.Value","OCQ210.Value.Description","OCQ210.Count","OCQ210.Cumulative","OCQ210.Skip.to.Item"
"1","Yes",314,314,NA
"2","No",693,1007,NA
"7","Refused",2,1009,NA
"9","Don't know",2,1011,NA
".","Missing",5453,6464,NA
