"WBXP048.Code.or.Value","WBXP048.Value.Description","WBXP048.Count","WBXP048.Cumulative","WBXP048.Skip.to.Item"
"-88.2508 to 168.6766","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
