"DS2TCARB.Code.or.Value","DS2TCARB.Value.Description","DS2TCARB.Count","DS2TCARB.Cumulative","DS2TCARB.Skip.to.Item"
"0.001 to 63","Range of Values",876,876,NA
".","Missing",8668,9544,NA
