"DR1TPFAT.Code.or.Value","DR1TPFAT.Value.Description","DR1TPFAT.Count","DR1TPFAT.Cumulative","DR1TPFAT.Skip.to.Item"
"0 to 147.082","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
