"PAQ759s.Code.or.Value","PAQ759s.Value.Description","PAQ759s.Count","PAQ759s.Cumulative","PAQ759s.Skip.to.Item"
"19","RUNNING",115,115,NA
".","Missing",9369,9484,NA
