"MCQ240W.Code.or.Value","MCQ240W.Value.Description","MCQ240W.Count","MCQ240W.Cumulative","MCQ240W.Skip.to.Item"
"10 to 84","Range of Values",74,74,NA
"85","85 years or older",0,74,NA
"77777","Refused",0,74,NA
"99999","Don't know",0,74,NA
".","Missing",9571,9645,NA
