"URXUPB.Code.or.Value","URXUPB.Value.Description","URXUPB.Count","URXUPB.Cumulative","URXUPB.Skip.to.Item"
"0.07 to 71.7","Range of Values",2576,2576,NA
".","Missing",116,2692,NA
