"URDMB2LC.Code.or.Value","URDMB2LC.Value.Description","URDMB2LC.Count","URDMB2LC.Cumulative","URDMB2LC.Skip.to.Item"
"0","At or above the detection limit",279,279,NA
"1","Below lower detection limit",2736,3015,NA
".","Missing",264,3279,NA
