"LBXSLDSI.Code.or.Value","LBXSLDSI.Value.Description","LBXSLDSI.Count","LBXSLDSI.Cumulative","LBXSLDSI.Skip.to.Item"
"45 to 719","Range of Values",6230,6230,NA
".","Missing",528,6758,NA
