"MGXH1T3E.Code.or.Value","MGXH1T3E.Value.Description","MGXH1T3E.Count","MGXH1T3E.Cumulative","MGXH1T3E.Skip.to.Item"
"1","Maximal",7055,7055,NA
"2","Questionable",104,7159,NA
".","Missing",662,7821,NA
