"DXXIPX.Code.or.Value","DXXIPX.Value.Description","DXXIPX.Count","DXXIPX.Cumulative","DXXIPX.Skip.to.Item"
"45 to 499.2","Range of Values",2995,2995,NA
".","Missing",713,3708,NA
