"LBXGH.Code.or.Value","LBXGH.Value.Description","LBXGH.Count","LBXGH.Cumulative","LBXGH.Skip.to.Item"
"2 to 15.2","Range of Values",6427,6427,NA
".","Missing",490,6917,NA
