"RIDEXAGY.Code.or.Value","RIDEXAGY.Value.Description","RIDEXAGY.Count","RIDEXAGY.Cumulative","RIDEXAGY.Skip.to.Item"
"2 to 20","Range of Values",3418,3418,NA
".","Missing",6338,9756,NA
