"URDP10LC.Code.or.Value","URDP10LC.Value.Description","URDP10LC.Count","URDP10LC.Cumulative","URDP10LC.Skip.to.Item"
"0","At or above the detection limit",2123,2123,NA
"1","Below lower detection limit",913,3036,NA
".","Missing",243,3279,NA
