"LBXP1.Code.or.Value","LBXP1.Value.Description","LBXP1.Count","LBXP1.Cumulative","LBXP1.Skip.to.Item"
"0.2 to 72.7","Range of Values",1301,1301,NA
"0.1","Below Limit of Detection",20,1321,NA
".","Missing",186,1507,NA
