"AUXRR235.Code.or.Value","AUXRR235.Value.Description","AUXRR235.Count","AUXRR235.Cumulative","AUXRR235.Skip.to.Item"
"-41 to 95","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
