"DSQINIAC.Code.or.Value","DSQINIAC.Value.Description","DSQINIAC.Count","DSQINIAC.Cumulative","DSQINIAC.Skip.to.Item"
"0.0731 to 2000","Range of Values",2495,2495,NA
".","Missing",5790,8285,NA
