"DS2TIRON.Code.or.Value","DS2TIRON.Value.Description","DS2TIRON.Count","DS2TIRON.Cumulative","DS2TIRON.Skip.to.Item"
"0.08 to 202.5","Range of Values",657,657,NA
".","Missing",8047,8704,NA
