"BMXLEG.Code.or.Value","BMXLEG.Value.Description","BMXLEG.Count","BMXLEG.Cumulative","BMXLEG.Skip.to.Item"
"24 to 51.5","Range of Values",7110,7110,NA
".","Missing",2434,9544,NA
