"SPXBFEV5.Code.or.Value","SPXBFEV5.Value.Description","SPXBFEV5.Count","SPXBFEV5.Cumulative","SPXBFEV5.Skip.to.Item"
"516 to 3758","Range of Values",611,611,NA
".","Missing",7132,7743,NA
