"WTSBA26.Code.or.Value","WTSBA26.Value.Description","WTSBA26.Count","WTSBA26.Cumulative","WTSBA26.Skip.to.Item"
"0 to 357091.55847","Range of Values",946,946,NA
".","Missing",65,1011,NA
