"LBXRDW.Code.or.Value","LBXRDW.Value.Description","LBXRDW.Count","LBXRDW.Cumulative","LBXRDW.Skip.to.Item"
"10.8 to 29.8","Range of Values",7953,7953,NA
".","Missing",1003,8956,NA
