"RFXC170.Code.or.Value","RFXC170.Value.Description","RFXC170.Count","RFXC170.Cumulative","RFXC170.Skip.to.Item"
"-1.758 to 1.498","Range of Values",33667,33667,NA
".","Missing",54,33721,NA
