"SXQ809.Code.or.Value","SXQ809.Value.Description","SXQ809.Count","SXQ809.Cumulative","SXQ809.Skip.to.Item"
"1","Yes",116,116,NA
"2","No",2076,2192,NA
"7","Refused",5,2197,NA
"9","Don't know",1,2198,NA
".","Missing",2859,5057,NA
