"URDMETLC.Code.or.Value","URDMETLC.Value.Description","URDMETLC.Count","URDMETLC.Cumulative","URDMETLC.Skip.to.Item"
"0","detectable result",101,101,NA
"1","below detectable limit",2946,3047,NA
".","Missing",105,3152,NA
