"AUXROABN.Code.or.Value","AUXROABN.Value.Description","AUXROABN.Count","AUXROABN.Cumulative","AUXROABN.Skip.to.Item"
"1","Yes (checkbox checked)",29,29,NA
"2","No (checkbox unchecked)",3879,3908,NA
".","Missing",592,4500,NA
