"SMQ666C.Code.or.Value","SMQ666C.Value.Description","SMQ666C.Count","SMQ666C.Cumulative","SMQ666C.Skip.to.Item"
"1","Regulars",10,10,NA
"2","Lights",20,30,NA
"3","Ultralights",1,31,NA
"7","Refused",0,31,NA
"9","Don't know",0,31,NA
".","Missing",7414,7445,NA
