"LBCF02LA.Code.or.Value","LBCF02LA.Value.Description","LBCF02LA.Count","LBCF02LA.Cumulative","LBCF02LA.Skip.to.Item"
"0.133 to 1.31","Range of Values",246,246,NA
".","Missing",1,247,NA
