"SSBPPPL.Code.or.Value","SSBPPPL.Value.Description","SSBPPPL.Count","SSBPPPL.Cumulative","SSBPPPL.Skip.to.Item"
"0","At or above the detection limit",649,649,NA
"1","Below lower detection limit",1778,2427,NA
".","Missing",3,2430,NA
