"URDCYMLC.Code.or.Value","URDCYMLC.Value.Description","URDCYMLC.Count","URDCYMLC.Cumulative","URDCYMLC.Skip.to.Item"
"0","At or above the detection limit",2251,2251,NA
"1","Below lower detection limit",215,2466,NA
".","Missing",85,2551,NA
