"WHQ040.Code.or.Value","WHQ040.Value.Description","WHQ040.Count","WHQ040.Cumulative","WHQ040.Skip.to.Item"
"1","More,",557,557,NA
"2","Less, or",3816,4373,NA
"3","Stay about the same?",2129,6502,NA
"7","Refused",1,6503,NA
"9","Don't know",1,6504,NA
".","Missing",42,6546,NA
