"PFQ061R.Code.or.Value","PFQ061R.Value.Description","PFQ061R.Count","PFQ061R.Cumulative","PFQ061R.Skip.to.Item"
"1","No difficulty",2243,2243,NA
"2","Some difficulty",325,2568,NA
"3","Much difficulty",94,2662,NA
"4","Unable to do",54,2716,NA
"5","Do not do this activity",156,2872,NA
"7","Refused",0,2872,NA
"9","Don't know",0,2872,NA
".","Missing",6144,9016,NA
