"AUAFMANL.Code.or.Value","AUAFMANL.Value.Description","AUAFMANL.Count","AUAFMANL.Cumulative","AUAFMANL.Skip.to.Item"
"1","None",1755,1755,NA
"2","500 Hz",0,1755,NA
"3","1000 Hz",1,1756,NA
"4","2000 Hz",1,1757,NA
"5","3000 Hz",1,1758,NA
"6","4000 Hz",1,1759,NA
"7","6000 Hz",5,1764,NA
"8","8000 Hz",10,1774,NA
".","Missing",115,1889,NA
