"OHD26LAM.Code.or.Value","OHD26LAM.Value.Description","OHD26LAM.Count","OHD26LAM.Cumulative","OHD26LAM.Skip.to.Item"
"0 to 10","Range of Values",2642,2642,NA
"99","Calculation cannot be determined",167,2809,NA
".","Missing",4321,7130,NA
