"RIDAGEEX.Code.or.Value","RIDAGEEX.Value.Description","RIDAGEEX.Count","RIDAGEEX.Cumulative","RIDAGEEX.Skip.to.Item"
"0 to 1019","Range of Values",9141,9141,NA
".","Missing",824,9965,NA
