"LBXDWS.Code.or.Value","LBXDWS.Value.Description","LBXDWS.Count","LBXDWS.Cumulative","LBXDWS.Skip.to.Item"
"22.7 to 6942.7","Range of Values",6953,6953,NA
".","Missing",2487,9440,NA
