"MPQ120c.Code.or.Value","MPQ120c.Value.Description","MPQ120c.Count","MPQ120c.Cumulative","MPQ120c.Skip.to.Item"
"12","Shoulder girdle - right",211,211,NA
".","Missing",5200,5411,NA
