"URDMU3LC.Code.or.Value","URDMU3LC.Value.Description","URDMU3LC.Count","URDMU3LC.Cumulative","URDMU3LC.Skip.to.Item"
"0","At or above the detection limit",2679,2679,NA
"1","Below lower detection limit",35,2714,NA
".","Missing",117,2831,NA
