"DR1TMFAT.Code.or.Value","DR1TMFAT.Value.Description","DR1TMFAT.Count","DR1TMFAT.Cumulative","DR1TMFAT.Skip.to.Item"
"0 to 174.166","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
