"DR1TCHL.Code.or.Value","DR1TCHL.Value.Description","DR1TCHL.Count","DR1TCHL.Cumulative","DR1TCHL.Skip.to.Item"
"0 to 1979.7","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
