"FSD660ZW.Code.or.Value","FSD660ZW.Value.Description","FSD660ZW.Count","FSD660ZW.Cumulative","FSD660ZW.Skip.to.Item"
"1","Yes",67,67,NA
"2","No",5,72,NA
"7","Refused",0,72,NA
"9","Don't know",0,72,NA
".","Missing",10077,10149,NA
