"AUXRR169.Code.or.Value","AUXRR169.Value.Description","AUXRR169.Count","AUXRR169.Cumulative","AUXRR169.Skip.to.Item"
"-4 to 38","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
