"LBDSCUSI.Code.or.Value","LBDSCUSI.Value.Description","LBDSCUSI.Count","LBDSCUSI.Cumulative","LBDSCUSI.Skip.to.Item"
"8.31 to 48.14","Range of Values",2436,2436,NA
".","Missing",256,2692,NA
