"FSD141.Code.or.Value","FSD141.Value.Description","FSD141.Count","FSD141.Cumulative","FSD141.Skip.to.Item"
"1","Yes",105,105,NA
"2","No",1118,1223,NA
"7","Refused",0,1223,NA
"9","Don't know",0,1223,NA
".","Missing",9314,10537,NA
