"WBXA076.Code.or.Value","WBXA076.Value.Description","WBXA076.Count","WBXA076.Cumulative","WBXA076.Skip.to.Item"
"-0.6539 to 0.9997","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
