"SSHGL_N.Code.or.Value","SSHGL_N.Value.Description","SSHGL_N.Count","SSHGL_N.Cumulative","SSHGL_N.Skip.to.Item"
"45.9 to 758","Range of Values",1761,1761,NA
".","Missing",17,1778,NA
