"PFQ051.Code.or.Value","PFQ051.Value.Description","PFQ051.Count","PFQ051.Cumulative","PFQ051.Skip.to.Item"
"1","Yes",1322,1322,NA
"2","No",4894,6216,NA
"7","Refused",0,6216,NA
"9","Don't know",2,6218,NA
".","Missing",2798,9016,NA
