"PFD069F.Code.or.Value","PFD069F.Value.Description","PFD069F.Count","PFD069F.Cumulative","PFD069F.Skip.to.Item"
"30 to 25568","Range of Values",169,169,NA
"66666","Since birth",0,169,NA
"77777","Refused",0,169,NA
"99999","Don't know",0,169,NA
".","Missing",9653,9822,NA
