"AUXLR209.Code.or.Value","AUXLR209.Value.Description","AUXLR209.Count","AUXLR209.Cumulative","AUXLR209.Skip.to.Item"
"-201 to 65","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
