"BIDFFM.Code.or.Value","BIDFFM.Value.Description","BIDFFM.Count","BIDFFM.Cumulative","BIDFFM.Skip.to.Item"
"14.2 to 101.7","Range of Values",4083,4083,NA
".","Missing",1228,5311,NA
