"AUDTYR82.Code.or.Value","AUDTYR82.Value.Description","AUDTYR82.Count","AUDTYR82.Cumulative","AUDTYR82.Skip.to.Item"
"0 to 0.19","Range of Values",1682,1682,NA
".","Missing",125,1807,NA
