"DRABF.Code.or.Value","DRABF.Value.Description","DRABF.Count","DRABF.Cumulative","DRABF.Skip.to.Item"
"1","Yes",1954,1954,NA
"2","No",110729,112683,NA
".","Missing",0,112683,NA
