"URDDHDLC.Code.or.Value","URDDHDLC.Value.Description","URDDHDLC.Count","URDDHDLC.Cumulative","URDDHDLC.Skip.to.Item"
"0","At or above detection limit",217,217,NA
"1","Below lower detection limit",2442,2659,NA
".","Missing",100,2759,NA
