"DXXPT61Y.Code.or.Value","DXXPT61Y.Value.Description","DXXPT61Y.Count","DXXPT61Y.Cumulative","DXXPT61Y.Skip.to.Item"
"89.4 to 334.1","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
