"DRABF.Code.or.Value","DRABF.Value.Description","DRABF.Count","DRABF.Cumulative","DRABF.Skip.to.Item"
"1","Yes",2027,2027,NA
"2","No",98653,100680,NA
".","Missing",0,100680,NA
