"DXXTATV.Code.or.Value","DXXTATV.Value.Description","DXXTATV.Count","DXXTATV.Cumulative","DXXTATV.Skip.to.Item"
"229 to 6370.91","Range of Values",4696,4696,NA
".","Missing",996,5692,NA
