"DS2LOC.Code.or.Value","DS2LOC.Value.Description","DS2LOC.Count","DS2LOC.Cumulative","DS2LOC.Skip.to.Item"
"1","HouseHold Interview",3869,3869,NA
"2","MEC Interview",1165,5034,NA
"3","Phone Interview",665,5699,NA
".","Missing",0,5699,NA
