"CBD121.Code.or.Value","CBD121.Value.Description","CBD121.Count","CBD121.Cumulative","CBD121.Skip.to.Item"
"0 to 3000","Range of Values",9362,9362,NA
"8400","8400 and over",2,9364,NA
"777777","Refused",29,9393,NA
"999999","Don't know",249,9642,NA
".","Missing",329,9971,NA
